issue number,issue comment count,pr comment count
15469,5,13
15182,12,4
15155,3,0
14616,3,0
14540,7,0
14556,1,2
14057,4,0
13977,1,1
13808,0,0
13751,8,2
13689,1,1
13641,5,1
13633,13,8
13363,6,0
13354,1,3
13175,5,0
13179,4,3
13076,0,1
12981,3,6
12996,8,7
12921,8,10
12865,2,3
12718,1,6
12500,2,3
12502,1,1
12382,1,0
12388,4,1
12342,2,0
12284,7,26
12268,0,1
12164,0,4
12122,2,0
12021,4,0
11883,0,1
11768,2,0
11670,5,1
11565,2,0
11431,6,0
11447,4,0
11457,3,10
11293,1,0
11256,1,4
11266,8,0
11235,12,0
11166,1,2
11142,1,1
11091,0,0
11095,9,5
11035,7,0
10933,2,0
10879,5,4
10901,3,1
10843,3,5
10818,2,0
10748,4,8
10765,0,0
10678,0,2
10682,1,0
10516,6,7
10518,4,5
10252,4,4
10188,2,5
10138,2,2
10144,3,2
10153,2,0
9911,5,2
9890,2,1
9842,3,2
9536,0,6
9538,3,7
9528,10,0
9312,0,0
9064,9,9
8978,2,1
8703,2,4
8643,11,3
8645,3,1
8405,0,1
8354,0,0
8360,3,10
8256,0,0
8187,2,3
8139,1,0
8112,0,1
8116,1,3
8049,4,0
8053,4,0
8055,22,0
7998,3,21
7918,0,2
7902,12,24
7905,3,1
7909,2,0
7802,8,0
7764,0,1
7745,2,0
7639,1,0
7579,1,0
7375,2,2
7376,1,0
7393,0,0
7294,1,0
7286,1,1
7251,1,0
7241,1,0
7052,2,0
7056,6,0
7041,2,3
6937,3,1
6842,2,1
6819,1,3
6718,7,0
6605,2,1
6575,0,3
6537,0,0
6526,1,1
6504,7,3
6505,6,2
6516,4,6
6494,1,0
6497,5,5
6418,2,0
6345,1,0
5870,2,0
5774,4,0
5790,1,0
5655,2,0
5589,3,1
5573,4,3
5175,1,2
5124,5,0
5132,0,0
4941,0,1
4899,8,1
4852,2,0
4825,1,0
4817,2,0
4799,8,0
4721,0,0
4722,0,2
4694,2,0
4680,8,5
4665,0,9
4586,4,0
4556,3,0
4564,1,5
4411,4,0
4417,4,0
4363,5,0
4292,4,0
4199,8,0
4168,0,0
4049,2,3
3910,2,2
3797,2,1
3784,2,1
3740,1,13
3719,13,13
3624,2,0
3533,2,0
3236,0,1
2995,2,0
2848,3,0
2755,2,0
2754,3,0
1621,6,14
991,2,19
979,5,0
822,3,2
273,7,5
