issue_number,pr_number,pr_url,path,additions,deletions
15469,15478,https://github.com/lowRISC/opentitan/pull/15478,hw/ip/edn/rtl/edn_core.sv,56,5
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,hw/top_earlgrey/data/autogen/top_earlgrey.gen.hjson,37,37
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,hw/top_earlgrey/dv/autogen/xbar_env_pkg__params.sv,37,37
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,hw/top_earlgrey/dv/autogen/xbar_tgl_excl.cfg,37,37
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,hw/top_earlgrey/ip/ast/rtl/ast.sv,1,1
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,hw/top_earlgrey/ip/xbar_main/data/autogen/xbar_main.gen.hjson,14,14
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,hw/top_earlgrey/ip/xbar_main/dv/autogen/xbar_cover.cfg,14,14
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,hw/top_earlgrey/ip/xbar_main/dv/autogen/xbar_env_pkg__params.sv,14,14
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,hw/top_earlgrey/ip/xbar_main/rtl/autogen/tl_main_pkg.sv,14,14
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,hw/top_earlgrey/ip/xbar_peri/data/autogen/xbar_peri.gen.hjson,23,23
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,hw/top_earlgrey/ip/xbar_peri/dv/autogen/xbar_cover.cfg,23,23
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,hw/top_earlgrey/ip/xbar_peri/dv/autogen/xbar_env_pkg__params.sv,23,23
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,hw/top_earlgrey/ip/xbar_peri/rtl/autogen/tl_peri_pkg.sv,23,23
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,hw/top_earlgrey/rtl/autogen/top_earlgrey_pkg.sv,37,37
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,hw/top_earlgrey/sw/autogen/top_earlgrey.h,37,37
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,hw/top_earlgrey/sw/autogen/top_earlgrey_memory.h,37,37
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,util/tlgen/lib.py,2,2
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,util/tlgen/validate.py,36,1
15182,15192,https://github.com/lowRISC/opentitan/pull/15192,util/topgen/lib.py,2,3
15155,15208,https://github.com/lowRISC/opentitan/pull/15208,hw/ip/flash_ctrl/data/flash_ctrl.sv.tpl,3,0
15155,15208,https://github.com/lowRISC/opentitan/pull/15208,hw/ip/flash_ctrl/rtl/flash_ctrl.sv,3,0
15155,15208,https://github.com/lowRISC/opentitan/pull/15208,hw/ip/flash_ctrl/rtl/flash_phy.sv,7,2
15155,15208,https://github.com/lowRISC/opentitan/pull/15208,hw/ip/flash_ctrl/rtl/flash_phy_core.sv,97,31
15155,15208,https://github.com/lowRISC/opentitan/pull/15208,hw/top_earlgrey/ip/flash_ctrl/rtl/autogen/flash_ctrl.sv,3,0
14616,14727,https://github.com/lowRISC/opentitan/pull/14727,hw/ip/flash_ctrl/data/flash_ctrl.sv.tpl,27,6
14616,14727,https://github.com/lowRISC/opentitan/pull/14727,hw/ip/flash_ctrl/data/flash_ctrl_pkg.sv.tpl,3,1
14616,14727,https://github.com/lowRISC/opentitan/pull/14727,hw/ip/flash_ctrl/rtl/flash_ctrl.sv,27,6
14616,14727,https://github.com/lowRISC/opentitan/pull/14727,hw/ip/flash_ctrl/rtl/flash_ctrl_pkg.sv,3,1
